Sample, S, N,H
2OANGA,5,22,1.609
2OANGA,5,22,1.599
2OANGA,12,34,2.466
2OANGA,12,34,2.479
2OANGA,8,28,2.056
2OANGA,7,26,1.946
2OANGA,11,33,2.392
2OANGA,4,20,1.386
2OANGA,10,31,2.289
2OANGA,6,23,1.743
2ODUT 60,20,43,2.968
2ODUT 60,14,37,2.623
2ODUT 60,11,32,2.372
2ODUT 60,9,30,2.183
2ODUT 60,12,34,2.479
2ODUT 60,8,28,2.079
2ODUT 60,8,28,2.058
2ODUT 60,8,28,2.079
2ODUT 60,14,37,2.639
2ODUT 60,13,36,2.556
2ODUT 50,14,37,2.628
2ODUT 50,8,28,2.067
2ODUT 50,6,24,1.766
2ODUT 50,9,30,2.186
2ODUT 50,8,28,2.079
2ODUT 50,3,17,1.099
2ODUT 50,9,30,2.19
2ODUT 50,7,26,1.946
2ODUT 50,7,26,1.922
2ODUT 50,8,28,2.072
2OCER 60,5,22,1.599
2OCER 60,10,31,2.296
2OCER 60,10,31,2.296
2OCER 60,5,22,1.609
2OCER 60,7,26,1.946
2OCER 60,4,20,1.374
2OCER 60,11,33,2.392
2OCER 60,13,35,2.537
2OCER 60,12,35,2.485
2OCER 60,16,40,2.765
2OBVII 30,7,26,1.931
2OBVII 30,6,24,1.792
2OBVII 30,7,25,1.904
2OBVII 30,7,26,1.922
2OBVII 30,8,27,2.035
2OBVII 30,1,10,0
2OBVII 30,14,37,2.634
2OBVII 30,8,28,2.067
2OBVII 30,6,24,1.792
2OBVII 30,6,24,1.792
2OBVII 60,9,29,2.153
2OBVII 60,6,24,1.766
2OBVII 60,5,22,1.609
2OBVII 60,10,31,2.292
2OBVII 60,5,22,1.58
2OBVII 60,4,20,1.386
2OBVII 60,10,32,2.303
2OBVII 60,12,33,2.446
2OBVII 60,13,34,2.519
2OBVII 60,16,40,2.768
2OBVI 80,1,10,0
2OBVI 80,12,21,1.969
2OBVI 80,18,30,2.621
2OBVI 80,22,37,2.899
2OBVI 80,16,35,2.65
2OBVI 80,5,22,1.58
2OBVI 80,11,33,2.398
2OBVI 80,9,28,2.15
2OBVI 80,5,20,1.524
2OBVI 80,2,14,0.6931
2OCER 90,7,26,1.937
2OCER 90,10,31,2.285
2OCER 90,11,33,2.392
2OCER 90,14,36,2.614
2OCER 90,17,41,2.826
2OCER 90,24,48,3.159
2OCER 90,14,35,2.586
2OCER 90,5,22,1.609
2OCER 90,19,42,2.914
2OCER 90,15,35,2.616
2OMAT,9,29,2.178
2OMAT,6,24,1.782
2OMAT,4,20,1.374
2OMAT,4,20,1.386
2OMAT,10,31,2.28
